SUBJECT,COURSE_NUMBER,NAME,UNIT_COUNT
BCB,290,Seminar,1 unit
BCB,298,Group Study,1-5 units
BCB,299,Research,1-12 units
BCB,396,Methods of Teaching,1 unit
BCM,198,Group Study,1-5 units
BCM,217,Molecular Genetics of Fungi,3 units
BCM,298,Group Study,1-5 units
BCM,299,Research,1-12 units
BCM,410A,Molecular Medicine,4 units
BCM,493,Medical Genomics,6 units
BCM,497T,Tutoring in Biological Chemistry,1-5 units
BCM,498,Group Study,1-5 units
BCM,499,Research,1-12 units
BIS,005,Exploring Biological Sciences,1 unit
BIS,010,Everyday Biology,4 units
BIS,011,Issues in the Life Sciences,2 units
BIS,011L,Basic Life Sciences Laboratory,1 unit
BIS,020Q,Modeling in Biology,2 units
BIS,023A,Genome Hunters,3 units
BIS,023B,Genome Hunters,3 units
BIS,060,BioLaunch: Career Laboratory,2 units
BIS,092,Internship in Biological Sciences,1-12 units
BIS,098,Directed Group Study,1-5 units
BIS,099,Special Study for Undergraduates,1-5 units
BIS,101,Genes & Gene Expression,4 units
BIS,103,Bioenergetics & Metabolism,3 units
BIS,104,Cell Biology,3 units
BIS,105,Biomolecules & Metabolism,3 units
BIS,122,Population Biology & Ecology,3 units
BIS,124,Coastal Marine Research,6 units
BIS,160,BioLaunch: Career Next Step Seminar,1 unit
BIS,180L,Genomics Laboratory,5 units
BIS,181,Comparative Genomics,3 units
BIS,183,Functional Genomics,3 units
BIS,185L,Systems & Synthetic Biology Lab,5 units
BIS,192,Internship in Biological Sciences,1-12 units
BIS,194H,Research Honors,2 units
BIS,195B,Science Teaching Internship,1-5 units
BIS,197T,Tutoring in Biological Sciences,1-5 units
BIS,198,Directed Group Study,1-5 units
BIS,298,Group Study,1-5 units
EBS,098,Directed Group Study,1-5 units
EBS,103,Fluid Mechanics Fundamentals,4 units
EBS,115,Forest Engineering,3 units
EBS,120,Power Systems Design,4 units
EBS,125,Heat Transfer in Biological Systems,4 units
EBS,128,Biomechanics & Ergonomics,4 units
EBS,135,Bioenvironmental Engineering,4 units
EBS,144,Groundwater Hydrology,4 units
EBS,145,Irrigation & Drainage Systems,4 units
EBS,161,Kinetics & Bioreactor Design,4 units
EBS,165,Bioinstrumentation & Control,4 units
EBS,170B,Engineering Projects: Design,2 units
EBS,175,Rheology of Biological Materials,3 units
EBS,198,Directed Group Study,1-5 units
EBS,216,Energy Systems,4 units
EBS,240,Inﬁltration & Drainage,3 units
EBS,290,Seminar,1 unit
EBS,290C,Graduate Research Conference,1 unit
EBS,298,Group Study,1-5 units
EBS,299,Research,1-12 units
BIM,020,Fundamentals of Bioengineering,4 units
BIM,020L,Graphics Design for BME,2 units
BIM,088V,Introduction to Research,2 units
BIM,099,Special Study for Undergraduates,1-5 units
BIM,102,Cellular Dynamics,4 units
